Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,19,2896,1514,43.905,1.14,50.41,1821.5,160.505,0.513,0.764,307.5,0.834,24.7,10.1,2274.513,57.454,29.37,28.727,8.432,0.294,481.921,192.51,0.523,0.889,0.584,24.478,0.831,0.287
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,20,3702,2055.5,51.158,1.154,56.63,2416,184.515,0.573,0.783,360.5,0.869,26.8,11.7,2907.544,65.368,32.966,32.69,10.819,0.331,654.286,212.409,0.555,0.898,0.612,21.95,0.851,0.328
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,21,3912,2028.5,50.821,1.378,53.29,2555,195.484,0.478,0.692,526.5,0.847,30.5,11.2,3072.478,73.41,36.884,36.705,6.987,0.19,645.692,230.894,0.519,0.848,0.479,26.282,0.794,0.189
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,22,4311,2122.5,51.985,1.321,57.14,2766,201.254,0.46,0.689,643.5,0.836,32.3,11.4,3385.852,75.452,37.876,37.726,8.948,0.237,675.613,240.693,0.492,0.849,0.475,27.295,0.767,0.236
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,23,4168,2214.5,53.1,1.207,58.76,2623,193.488,0.567,0.749,408.5,0.873,28.6,12.1,3273.54,70.937,35.767,35.468,10.726,0.302,704.897,221.581,0.531,0.868,0.56,22.171,0.844,0.3
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,24,3569,1797.5,47.84,1.229,53.9,2227.5,179.053,0.509,0.722,430,0.85,29.3,10.6,2803.086,66.219,33.56,33.11,8.821,0.266,572.162,210.752,0.504,0.861,0.522,24.71,0.807,0.263
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,25,3750,2056,51.164,1.224,55.36,2542.5,190.076,0.532,0.755,486.5,0.863,28.7,11,2945.243,67.742,35.421,33.992,7.76,0.229,654.445,220.309,0.548,0.893,0.57,23.607,0.809,0.219
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,26,3432,1834.5,48.33,1.162,54.35,2273,178.491,0.529,0.765,438.5,0.855,27.5,10.8,2695.487,63.151,31.911,31.575,7.006,0.222,583.94,208.752,0.535,0.9,0.586,23.754,0.807,0.22
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,27,3559,1988.5,50.317,1.356,51.24,2295.5,183.563,0.587,0.724,307,0.89,27.2,11.5,2795.232,69.462,36.192,34.731,10.447,0.301,632.959,206.267,0.559,0.841,0.525,21.396,0.866,0.289
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,28,2844,1463,43.16,1.385,45.31,1756.5,166.722,0.546,0.688,293.5,0.908,24.6,10,2233.672,62.769,32.19,31.576,7.903,0.252,465.687,183.539,0.514,0.845,0.473,23.026,0.833,0.246
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,29,3623,2033.5,50.884,1.365,51.52,2362,185.163,0.589,0.724,328.5,0.889,27.4,11,2845.498,70.328,35.502,35.164,10.98,0.312,647.283,208.267,0.561,0.838,0.523,21.33,0.861,0.309
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,30,3930,2048.5,51.071,1.102,59.73,2494,186.685,0.52,0.776,445.5,0.839,27.3,12.7,3086.615,65.795,33.252,32.899,10.916,0.332,652.058,222.409,0.521,0.903,0.603,24.147,0.821,0.328
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,31,3268,1688.5,46.367,1.383,48.61,2126,179.23,0.443,0.69,437.5,0.819,29,10.3,2566.681,67.231,33.716,33.615,1.726,0.051,537.466,218.752,0.517,0.849,0.476,28.34,0.794,0.051
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,32,3135,1822,48.165,1.325,48.65,2092.5,171.96,0.623,0.747,270.5,0.897,25.1,10.6,2462.223,64.444,32.531,32.222,12.302,0.382,579.961,191.681,0.581,0.849,0.559,20.166,0.871,0.378
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,33,3976,2132,52.101,1.355,54.16,2609.5,196.208,0.535,0.71,477.5,0.877,28.8,12.4,3122.743,73.41,37.236,36.705,9.866,0.269,678.637,223.823,0.536,0.851,0.504,23.498,0.817,0.265
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,34,3176,1843.5,48.448,1.218,51.06,2089.5,172.384,0.599,0.779,246,0.877,24.9,11,2494.425,62.201,32.466,31.141,8.943,0.288,586.804,196.61,0.58,0.882,0.607,20.969,0.882,0.275
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,35,3649,2010,50.589,1.29,53.19,2410.5,186.002,0.531,0.737,400.5,0.853,28,12.1,2865.918,68.6,35.335,34.301,9.407,0.274,639.803,218.167,0.551,0.863,0.544,23.68,0.834,0.266
