@relation skull-measurements

@ATTRIBUTE Sex   {M,F}
@ATTRIBUTE Population  STRING
@ATTRIBUTE GOL   NUMERIC
@ATTRIBUTE BBH   NUMERIC
@ATTRIBUTE ZYB   NUMERIC
@ATTRIBUTE AUB   NUMERIC
@ATTRIBUTE NLH   NUMERIC
@ATTRIBUTE OBH   NUMERIC
@ATTRIBUTE OBB   NUMERIC
@ATTRIBUTE NLB   NUMERIC
@ATTRIBUTE MDH   NUMERIC
@ATTRIBUTE OCC   NUMERIC
  
@DATA
F,EGYPT,182,130,121,111,50,34,37,28,21,101
F,EGYPT,177,128,121,113,51,35,37,23,28,102
F,EGYPT,180,132,115,107,49,33,38,25,19,98
F,EGYPT,173,129,114,112,48,29,36,23,21,94
F,EGYPT,172,128,120,108,48,33,38,24,25,99
F,EGYPT,177,122,118,111,49,34,36,23,25,93
F,EGYPT,172,127,126,118,52,36,42,26,25,90
F,EGYPT,177,129,124,119,52,33,39,24,27,94
F,EGYPT,176,132,122,112,46,32,37,22,24,102
F,EGYPT,175,132,120,109,46,27,35,23,21,97
F,EGYPT,179,125,121,114,49,33,38,22,27,92
F,EGYPT,183,134,126,117,52,32,35,24,24,97
F,EGYPT,178,128,117,113,48,37,40,24,25,93
F,EGYPT,171,124,118,111,49,36,38,23,27,91
F,EGYPT,178,134,119,108,50,33,38,25,23,92
F,EGYPT,172,129,119,112,44,32,37,21,25,95
F,EGYPT,171,127,121,115,49,31,37,26,24,97
F,EGYPT,165,126,120,116,47,33,38,24,23,96
F,EGYPT,172,128,113,104,46,33,39,23,26,94
F,EGYPT,171,128,122,111,45,32,36,25,23,93
F,EGYPT,185,131,128,120,50,33,41,24,26,93
F,EGYPT,175,121,121,109,48,34,38,27,27,86
F,EGYPT,178,119,117,109,48,32,38,24,29,91
F,EGYPT,179,125,122,112,51,32,38,25,29,95
F,EGYPT,177,126,116,110,49,34,37,22,25,91
F,EGYPT,176,128,118,110,46,31,37,22,23,95
F,EGYPT,173,127,120,109,49,32,38,25,28,94
F,EGYPT,176,131,119,115,47,32,37,22,27,91
F,EGYPT,174,123,121,114,49,34,39,22,23,99
F,EGYPT,180,125,119,112,49,33,39,25,26,91
F,EGYPT,178,128,123,120,49,33,39,25,26,95
F,EGYPT,180,126,116,106,53,31,37,26,24,99
F,EGYPT,172,118,123,115,48,33,40,24,24,92
F,EGYPT,176,128,127,122,50,33,39,27,27,100
F,EGYPT,177,131,119,114,51,35,39,24,26,90
F,EGYPT,179,131,125,113,51,34,38,24,25,90
F,EGYPT,176,126,116,110,48,30,36,23,27,100
F,EGYPT,170,125,118,107,55,35,40,24,23,88
F,EGYPT,172,130,121,112,50,33,38,23,24,93
F,EGYPT,186,130,118,113,49,33,39,22,22,100
F,EGYPT,168,124,116,110,49,34,39,26,25,97
F,EGYPT,171,131,120,109,50,32,37,23,27,88
F,EGYPT,177,123,120,112,49,32,37,22,26,96
F,EGYPT,176,127,116,105,49,35,35,23,28,92
F,EGYPT,170,127,120,116,43,32,38,24,26,90
F,EGYPT,172,134,123,114,49,33,36,27,29,95
F,EGYPT,172,131,123,119,49,32,38,23,28,97
F,EGYPT,169,130,126,120,49,32,35,26,28,91
F,EGYPT,176,129,122,115,46,31,36,25,26,101
F,EGYPT,181,119,119,116,52,35,40,25,24,96
F,EGYPT,183,133,118,114,50,31,41,25,23,99
M,TEITA,189,134,133,115,49,31,38,27,31,100
M,TEITA,178,118,125,109,50,32,39,28,28,95
M,TEITA,187,134,133,120,49,33,41,28,35,93
M,TEITA,191,129,129,121,50,33,39,27,30,92
M,TEITA,186,129,133,118,51,33,40,27,29,98
M,TEITA,187,137,129,118,52,32,37,29,31,95
M,TEITA,190,129,132,118,48,31,41,28,28,92
M,TEITA,198,129,143,123,58,35,42,30,35,99
M,TEITA,179,130,130,116,48,29,42,32,25,90
M,TEITA,180,129,123,113,48,33,42,25,29,89
M,TEITA,180,127,133,120,52,32,39,30,33,87
M,TEITA,184,130,131,119,55,35,40,26,29,91
M,TEITA,182,136,128,118,50,34,38,25,31,93
M,TEITA,180,125,136,118,48,29,40,26,31,93
M,TEITA,186,131,132,119,54,33,38,26,27,96
M,TEITA,182,123,130,118,53,36,39,26,27,94
M,TEITA,182,129,131,112,52,34,39,29,30,90
M,TEITA,178,124,133,117,49,32,39,29,28,88
M,TEITA,183,128,130,118,48,34,40,27,31,91
M,TEITA,188,133,130,115,43,32,40,26,30,109
M,TEITA,173,129,133,120,51,34,40,28,30,88
M,TEITA,186,132,134,120,46,32,41,28,22,95
M,TEITA,187,131,135,122,48,35,40,27,27,93
M,TEITA,184,124,132,119,49,34,38,30,24,88
M,TEITA,178,127,125,111,48,36,42,27,29,85
M,TEITA,181,132,126,114,52,31,38,29,25,96
M,TEITA,180,125,132,115,51,35,40,28,32,94
M,TEITA,184,131,134,119,49,35,40,26,32,91
M,TEITA,190,131,134,124,50,36,40,28,35,98
M,TEITA,184,131,131,117,51,34,40,30,25,94
M,TEITA,178,115,124,112,51,33,37,26,30,96
M,TEITA,185,129,124,120,51,35,37,29,24,93
F,TEITA,180,128,129,122,46,36,43,31,26,88
F,TEITA,173,127,123,115,40,29,39,24,27,93
F,TEITA,182,119,129,118,49,31,39,29,29,88
F,TEITA,174,124,126,112,47,35,37,26,30,90
F,TEITA,185,134,137,117,50,32,34,30,24,95
