@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
"7","CC_F",0.49,1.88,12.1,62.5,0.0759,4.48,1.59,0.0516,0.0624,9.74,0.0085,0.0115,0.0249,0.0378,0.0307,0.0065,0.109,0.0047,0.0241
"7","CC_G",0.356,1.96,11.1,59.3,0.148,4.74,1.38,0.0363,0.0534,9.28,0.0045,0.0069,0.0195,0.0386,0.0274,0.0059,0.0937,0.0046,0.028
"7","CC_H",0.392,2.01,10.5,58.3,0.0974,4.76,1.34,0.0264,0.049,9.12,0,0,0.0174,0.0415,0.0289,0.0059,0.0881,0.0039,0.0194
"7","CC_I",0.561,1.9,12.3,65.2,0.105,4.34,1.53,0.0335,0.0635,9.79,0.005,0.0079,0.0226,0.0326,0.0284,0.0063,0.109,0.0044,0.0368
"7","PA_A",0.453,1.8,10.7,54.3,0.14,4.45,1.3,0.0209,0.0482,8.84,0.0033,0.0095,0.0185,0.0402,0.0243,0,0.0742,0.0001,0.0161
"7","PA_B",0.615,1.87,9.81,53,0.745,4.88,1.36,0.0491,0.0526,8.02,0.0091,0.0118,0.0236,0.0431,0.0224,0.0009,0.0784,0.002,0.0262
"7","PA_C",0.523,1.89,10.6,56.4,0.0666,4.48,1.26,0.0243,0.0445,8.64,0.0028,0.0049,0.0192,0.0453,0.0272,0.0035,0.0823,0.0031,0.0359
"7","PA_D",0.447,1.85,10.3,56.2,0.28,4.49,1.34,0.0252,0.0514,8.84,0.0044,0.0099,0.021,0.04,0.0254,0.0039,0.0774,0.003,0.0176
"7","PA_E",0.593,2.11,11.1,55.5,0.677,4.58,1.36,0.062,0.0559,8.72,0.0141,0.0214,0.0305,0.0387,0.025,0.003,0.0735,0.0032,0.0388
"7","PA_F",0.56,2.2,10.2,54.9,0.365,4.72,1.36,0.0307,0.0497,9.1,0.0064,0.0104,0.0222,0.0437,0.0257,0.0032,0.0731,0.0028,0.0178
"7","H_A",0.344,1.82,10.3,60,0.102,6.77,1.18,0.0181,0.0343,6.82,0.0054,0.0168,0.0223,0.0746,0.0257,0,0.0402,0,0
"7","H_B",0.437,1.66,12.8,64.2,0.103,7.49,1.25,0.0523,0.0367,6.92,0.0082,0.0092,0.0236,0.0842,0.0153,0,0.0456,0.0015,0.0669
"7","H_C",0.208,2.01,11.1,66.4,0.0882,7.93,1.21,0.0212,0.0214,7.59,0.0049,0.0077,0.0249,0.101,0.0209,0.0026,0.0439,0.0032,0.0774
"7","H_D",0.313,1.89,12.4,63.2,0.101,7.61,1.21,0.0563,0.0302,7.39,0.0087,0.0123,0.0194,0.0737,0.0235,0,0.0392,0.0033,0.0619
"7","H_E",0.394,1.65,10.7,62.7,0.0862,7.06,1.2,0.036,0.037,7.02,0.0083,0.0089,0.02,0.0785,0.0245,0,0.0459,0.0026,0.0448
"7","H_F",0.478,1.75,11.2,60.6,0.102,6.6,1.23,0.0289,0.0351,7.61,0.0063,0.0084,0.0183,0.0781,0.0253,0.0001,0.0526,0.0042,0.034
1,"0001",0.763,1.98,12.6,68.2,0.642,4.6,1.42,0.0282,0.0357,8.41,0,0,0,0.0329,0.0195,0.0078,0.106,0.005,0.0086
1,"0002",0.883,1.8,11.8,70.3,0.29,4.73,1.28,0.0334,0.0446,7.45,0.0075,0.009,0.0159,0.0305,0.0205,0.0057,0.0741,0.0033,0.0122
1,"0004",0.808,1.94,13.4,68.1,0.131,5.52,1.08,0.0176,0.0387,7.38,0.0031,0.0051,0.0122,0.0357,0.0238,0.0053,0.0535,0,0.0488
1,"0006",0.397,1.44,13.6,67.4,0.397,4.8,1.89,0.0464,0.0412,9.13,0.008,0.012,0.0444,0.0354,0.0116,0.0061,0.118,0.0045,0.0035
1,"0008",0.333,1.18,14,65.8,0.336,5.26,1.86,0.0374,0.0139,10.3,0.0041,0.0087,0.0553,0.0368,0.0133,0.0064,0.102,0.0054,0.0394
1,"0010",0.61,1.29,11.4,74,0.0972,3.97,1.25,0.0283,0.0295,6.04,0.0041,0.006,0.0093,0.0239,0.0148,0.0065,0.135,0,0
1,"0015",0.267,1.54,13.7,65.6,0.0876,5.34,1.72,0.036,0.0411,10.7,0,0,0.0312,0.0378,0.0115,0.0083,0.0996,0.0055,0.0363
1,"0016",0.385,1.63,13.2,69.3,0.105,5.17,1.78,0.0361,0.0221,7.26,0.005,0.0069,0.0285,0.0348,0.0115,0.0061,0.0891,0.0034,0
1,"0018",0.325,1.57,12.6,70.5,0.0875,4.88,1.32,0.0312,0.0275,7.68,0.0073,0.0126,0.0277,0.0332,0.0139,0.0045,0.0797,0.0029,0.0104
1,"0019",0.315,1.25,12.1,73.9,0.0919,4.81,1.55,0.0312,0.0249,4.5,0.0067,0.0091,0.0227,0.0316,0.0137,0.0035,0.0863,0.0022,0.0186
1,"0020",0.42,1.25,12.7,72.9,0.105,4.77,1.39,0.0265,0.0247,5.43,0.0041,0.006,0.0189,0.0317,0.0116,0.0045,0.0782,0.0023,0
1,"0020c",0.427,0.947,10.7,75.4,0.0702,4.56,1.2,0.0305,0.0272,5.67,0.0071,0.0085,0.0217,0.0318,0.0121,0.0055,0.0796,0.003,0.0159
1,"0108",0.566,1.19,11.9,71.3,0.049,4.66,1.33,0.0213,0.0356,7.7,0,0,0,0.0343,0.017,0.0067,0.0802,0.0038,0.0388
